,Time,Desc,img,day,month
4346,"MARCH 8, 2018","myogi_adityanath
Verified
आदरणीय प्रधानमंत्री जी के मार्गदर्शन में भारत सरकार द्वारा ‘बेटी बचाओ-बेटी पढ़ाओ’ अभियान चलाया जा रहा है। बेटियों को सशक्त करने के लिए ‘सुकन्या समृद्धि योजना’ के तहत इन्हें आर्थिक बल प्रदान करने के लिए बैंक खाते खोले गए। #NariShakti4NewIndia
261w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/28766526_171025930215133_823529944301699072_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=gjYR-YmC8ekAX_qKjuj&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTczMDQ3NDczNDg5MTgwNDU5NQ%3D%3D.2-ccb7-5&oh=00_AfApXnu3B3OjvDiD6rChKufkOB3jQBzpSwnVU0wkyMpLbQ&oe=64143F21&_nc_sid=6136e7,8,March
4312,"MARCH 25, 2018","myogi_adityanath
Verified
गोरखपुर में वायरोलाॅजी सेण्टर की स्थापना तथा इस वर्ष प्रदेश में 08 नये मेडिकल काॅलेज देने के लिए केन्द्रीय स्वास्थ्य एवं परिवार कल्याण मंत्री श्री जगत प्रकाश नड्डा जी का आभार।
259w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/29402571_2002277976690016_7814541601769783296_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=GioFfLOTM2sAX81cjVS&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTc0MjU2NzE1NDM5NjI2MTAzNw%3D%3D.2-ccb7-5&oh=00_AfC-uuag8oES7aRcZqcdJYgStg47qDRvntvVqymyZZBU9g&oe=64130E36&_nc_sid=6136e7,25,March
4527,"JANUARY 26, 2018","myogi_adityanath
Verified
सूचना राज्यमंत्री श्री नीलकंठ तिवारी ने यूपी दिवस के समापन समारोह में अंगवस्त्रम व पुष्प भेंट कर स्वागत व अभिनंदन किया।
267w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/26865133_1379143952213434_8578932818522931200_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=1xIh8fjXWpUAX-Qomb1&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTcwMDkzOTI2ODUxODg5Nzc2Nw%3D%3D.2-ccb7-5&oh=00_AfDLdS2j5EoXgfL37q_btv5d2XedNrhnCxXc3km3Y8qVjQ&oe=6414867E&_nc_sid=6136e7,26,January
4288,"MARCH 30, 2018","myogi_adityanath
Verified
जनपद बस्ती के मुंडेरवा में किसान आंदोलन में शहीद हुए किसानों की प्रतिमा पर माल्यार्पण कर उन्हें श्रद्धांजलि दीं।
258w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/29095813_1998858020441140_7370312782157185024_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=NkwiIhwsHMMAX_rJygR&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTc0NjMzNjA0NTY1MTMwODQ1NQ%3D%3D.2-ccb7-5&oh=00_AfBHeQohTarKXUg4d06rHF50o0fa03IgujzO33F_OKFRSg&oe=6413A4D7&_nc_sid=6136e7,30,March
4986,"OCTOBER 26, 2017","myogi_adityanath
Verified
आगरा में कछपुरा एवं मेहताब बाग क्षेत्र की पर्यटन विकास परियोजनाओं का शिलान्यास किया।
280w
See translation",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/22857999_124316681568535_7029615536489103360_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=EDMxo3Wq_eAAX_WWcz2&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTYzNDMzNDUzMjYzMDMwNDU1Mw%3D%3D.2-ccb7-5&oh=00_AfArXE_dxkoEzxYxvwsYg7V6YT4lHBW0I2byh9lGj7YrJQ&oe=64147357&_nc_sid=6136e7,26,October
4478,"FEBRUARY 4, 2018","myogi_adityanath
Verified
शास्त्री भवन, लखनऊ में बासगांव, आंवला, बस्ती और सीतापुर के जनप्रतिनिधियों के साथ उनके क्षेत्रों में हुए विकास कार्यों की समीक्षा की।
266w
See translation",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/26868056_345751202573927_1796687267771711488_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=111&_nc_ohc=YOf7_jAwaDgAX8jtSh-&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTcwNzQxNzkyNDgyOTM0ODM4NQ%3D%3D.2-ccb7-5&oh=00_AfCwdodwILvluhOeOeHYz_tYS2sfzs9Sz0QMO8sC-r0GjQ&oe=641333CE&_nc_sid=6136e7,4,February
4978,"OCTOBER 30, 2017","myogi_adityanath
Verified
आज नगरोटा, जिला काँगड़ा, हिमाचल प्रदेश में उपस्थित जनसमूह को सम्बोधित किया।
280w
See translation",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/22861015_163473704239632_5817345194533584896_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=100&_nc_ohc=IMqNYEDvMMkAX-3IdIP&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTYzNjk3NDczMjQ2ODcxNDI0OA%3D%3D.2-ccb7-5&oh=00_AfBsJFDIT3-vG5J731wdur_2OV6BTNc9nico1m-jJq2iCg&oe=64132667&_nc_sid=6136e7,30,October
4449,"FEBRUARY 9, 2018","myogi_adityanath
Verified
तीन दिवसीय अन्तर्राष्ट्रीय बर्ड फेस्टिवल-2018 का शुभारम्भ किया।
265w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/27573943_1630521490377042_6063819228618686464_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=G4Mx4gB8IyEAX_XNMP5&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTcxMTA5MDMxOTE1MDc4MTU3NQ%3D%3D.2-ccb7-5&oh=00_AfBF2quJywwIaJyoNfT1MGQuLXeEBcJnaZVVlaOhZUXgRg&oe=64146C9D&_nc_sid=6136e7,9,February
5095,"AUGUST 22, 2022","socialist_akhileshyadav
Verified
आज आज़मगढ़ में सपा विधायक श्री रामकांत यादव जी से मुलाकात।
28w
See translation
mr_arpit_yadav_3700
❤️❤️❤️
28wReply
View replies (1)
rakesh93_yadav
Verified
Nice 👍
28w6 likesReply
View replies (2)
official.__ahirrr__10m
🔥🔥🔥🔥
28w1 likeReply
View replies (2)
nwbzadi_anju_12
Bhaiya ❤️
28w12 likesReply
See translation
View replies (1)
srishti.yadav.010
🙌🙌🙌🥰🥰🥰
28w2 likesReply
official__pyadav
श्री अखिलेश यादव ज़िंदाबाद
28w1 likeReply
See translation
rr_vishal_yadav_
👏
28w1 likeReply
sadie.parde20
t0Wdау is mу birtWhdау💜💜🍭
28w138 likesReply
pathan__suhaib
Kabhi aap aazam khan sb se to milne gaye nhi the jail
28w3 likesReply
See translation
View replies (10)
manuyadav_5444
🔥🔥🔥🔥🔥🔥
28wReply
View replies (1)
choudhary__rahul___
🔥🔥🔥
28wReply
View replies (2)
syednizam_socialist
देश के अगले प्रधानमंत्री की जय हो 🙏
28w4 likesReply
See translation
View replies (3)
asad_iqbal6315
Naahid Hasan se bhi kr lete wo bhi aapka MLA hai ya tum bhi RSS join kre ho….
28w2 likesReply
See translation
mohd_rehan_hdc
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
28w1 likeReply
yadavsamajwadimanish
❤️❤️❤️❤️
28w1 likeReply
View replies (2)",https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/300345499_739537667126373_757229128939615690_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=109&_nc_ohc=Ro5RBwDa4-UAX9wQO0e&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MjkxMDQ1NjQ5MDgwNjMwMTE2Ng%3D%3D.2-ccb7-5&oh=00_AfDq1EuodEEPpX_2XzauoO3dnC01QUIjRmk6xqTkKfg6vg&oe=6411FA57&_nc_sid=6136e7,22,August
4715,"DECEMBER 27, 2017","myogi_adityanath
Verified
आज शास्त्री भवन में पं. दीनदयाल उपाध्याय आदर्श ग्राम विकास योजना की संरचना व योजना लागू किए जाने के संबंध में समीक्षा बैठक की।
271w
See translation",https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/25014014_141895359842235_7619855153763450880_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=8AK-kr7xEicAX9DdLUj&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MTY3OTIwMDE4NDE5Mjc1ODk0Nw%3D%3D.2-ccb7-5&oh=00_AfCmFmzi46gSKIuJJtXzMN2185Da86xW2PCl6dMeNcIFSw&oe=6413B93E&_nc_sid=6136e7,27,December
